city,year,weekofyear,total_cases
iq,2011,23,4
iq,2011,24,0
iq,2011,25,2
iq,2011,26,9
iq,2011,27,4
iq,2011,28,1
iq,2011,29,4
iq,2011,30,2
iq,2011,31,3
iq,2011,32,4
iq,2011,33,3
iq,2011,34,2
iq,2011,35,2
iq,2011,36,3
iq,2011,37,5
iq,2011,38,8
iq,2011,39,6
iq,2011,40,5
iq,2011,41,10
iq,2011,42,5
iq,2011,43,12
iq,2011,44,8
iq,2011,45,13
iq,2011,46,14
iq,2011,47,10
iq,2011,48,8
iq,2011,49,9
iq,2011,50,36
iq,2011,51,21
iq,2012,52,6
iq,2012,1,8
iq,2012,2,15
iq,2012,3,14
iq,2012,4,6
iq,2012,5,11
iq,2012,6,8
iq,2012,7,11
iq,2012,8,15
iq,2012,9,7
iq,2012,10,8
iq,2012,11,2
iq,2012,12,4
iq,2012,13,8
iq,2012,14,6
iq,2012,15,4
iq,2012,16,12
iq,2012,17,8
iq,2012,18,8
iq,2012,19,2
iq,2012,20,5
iq,2012,21,4
iq,2012,22,2
iq,2012,23,4
iq,2012,24,2
iq,2012,25,3
iq,2012,26,0
iq,2012,27,3
iq,2012,28,6
iq,2012,29,6
iq,2012,30,3
iq,2012,31,2
iq,2012,32,2
iq,2012,33,5
iq,2012,34,4
iq,2012,35,5
iq,2012,36,3
iq,2012,37,3
iq,2012,38,2
iq,2012,39,16
iq,2012,40,9
iq,2012,41,9
iq,2012,42,12
iq,2012,43,13
iq,2012,44,11
iq,2012,45,10
iq,2012,46,26
iq,2012,47,13
iq,2012,48,8
iq,2012,49,5
iq,2012,50,14
iq,2012,51,5
iq,2013,1,7
iq,2013,2,10
iq,2013,3,9
iq,2013,4,15
iq,2013,5,22
iq,2013,6,10
iq,2013,7,11
iq,2013,8,9
iq,2013,9,14
iq,2013,10,8
iq,2013,11,6
iq,2013,12,8
iq,2013,13,6
iq,2013,14,6
iq,2013,15,7
iq,2013,16,5
iq,2013,17,8
iq,2013,18,1
iq,2013,19,10
iq,2013,20,7
iq,2013,21,4
iq,2013,22,6
iq,2013,23,4
iq,2013,24,2
iq,2013,25,3
iq,2013,26,2
